gene,comparison,log2fc,p_value,abs_log2fc
SLC4A4,Fatal_vs_Healthy,-19.941660846578003,5.617669320519977e-39,19.941660846578003
SLC13A5,Survivor_vs_Healthy,18.74576120457097,5.634213508878091e-39,18.74576120457097
SLCO2B1,Fatal_vs_Healthy,22.490019206743117,5.6400152103706336e-39,22.490019206743117
SLC1A6,Fatal_vs_Healthy,20.140487869542174,5.6400152103706336e-39,20.140487869542174
SLC5A9,Survivor_vs_Healthy,20.60591471118513,5.6400152103706336e-39,20.60591471118513
SLC14A1,Survivor_vs_Healthy,21.290305360330272,5.6400152103706336e-39,21.290305360330272
SLC46A1,Survivor_vs_Healthy,21.13610580297889,5.6400152103706336e-39,21.13610580297889
SLC6A9,Fatal_vs_Healthy,20.532393803231194,5.6400152103706336e-39,20.532393803231194
SLC46A1,Fatal_vs_Healthy,21.808080195968248,5.6400152103706336e-39,21.808080195968248
SLCO2B1,Survivor_vs_Healthy,21.088154973993245,5.6400152103706336e-39,21.088154973993245
SLC5A5,Fatal_vs_Healthy,19.037104498794452,2.154677384233939e-38,19.037104498794452
SLC6A9,Survivor_vs_Healthy,18.82231841673852,2.1554606035284367e-38,18.82231841673852
SLC5A9,Fatal_vs_Healthy,18.9129883822513,2.1562441007941775e-38,18.9129883822513
SLC2A10,Survivor_vs_Healthy,19.203241651279065,8.139403854363295e-38,19.203241651279065
SLC32A1,Fatal_vs_Healthy,18.702559842215557,3.024707685308132e-37,18.702559842215557
SLC2A12,Survivor_vs_Healthy,17.886001828410702,3.9669736546533994e-36,17.886001828410702
SLC32A1,Survivor_vs_Healthy,18.641399271367693,4.009105904494722e-36,18.641399271367693
SLC4A1,Fatal_vs_Healthy,3.0995638666160743,8.311122991403306e-35,3.0995638666160743
SLC27A2,Survivor_vs_Healthy,4.6969024705042886,8.938846816783982e-35,4.6969024705042886
SLC7A8,Fatal_vs_Healthy,2.8594440434819828,2.3104110207431623e-34,2.8594440434819828
SLC7A8,Survivor_vs_Healthy,2.6602224723658043,2.3104110207431623e-34,2.6602224723658043
SLC28A3,Fatal_vs_Healthy,3.45493631415238,2.5123942026517515e-34,3.45493631415238
SLC28A3,Survivor_vs_Healthy,3.726130756047012,2.5123942026517515e-34,3.726130756047012
SLC6A12,Fatal_vs_Healthy,1.7562885220667412,2.560845048164455e-34,1.7562885220667412
SLC25A15,Fatal_vs_Healthy,2.0242091755659954,2.5618550313305253e-34,2.0242091755659954
SLC11A1,Survivor_vs_Healthy,-0.23814154455092043,2.562143669163401e-34,0.23814154455092043
SLC37A1,Fatal_vs_Healthy,0.6832273859191162,2.562143669163401e-34,0.6832273859191162
SLC39A7,Fatal_vs_Healthy,1.4385657999855868,2.562143669163401e-34,1.4385657999855868
SLC38A1,Fatal_vs_Healthy,-0.4463497750805147,2.562143669163401e-34,0.4463497750805147
SLC39A4,Survivor_vs_Healthy,0.8412017220724582,2.562143669163401e-34,0.8412017220724582
SLC35A3,Survivor_vs_Healthy,0.54896431039671,2.562143669163401e-34,0.54896431039671
SLC16A3,Survivor_vs_Healthy,1.5934668897313864,2.562143669163401e-34,1.5934668897313864
SLC25A19,Survivor_vs_Healthy,-0.6152704222684353,2.562143669163401e-34,0.6152704222684353
SLC4A2,Survivor_vs_Healthy,1.409551563888129,2.562143669163401e-34,1.409551563888129
SLC22A5,Fatal_vs_Healthy,1.2011720163572308,2.562143669163401e-34,1.2011720163572308
SLC29A1,Survivor_vs_Healthy,1.0522766900686746,2.562143669163401e-34,1.0522766900686746
SLC25A28,Survivor_vs_Healthy,-0.3488820397224851,2.562143669163401e-34,0.3488820397224851
SLC35C1,Survivor_vs_Healthy,2.2811736330234385,2.562143669163401e-34,2.2811736330234385
SLC25A37,Survivor_vs_Healthy,0.5975298810185334,2.562143669163401e-34,0.5975298810185334
SLC11A1,Fatal_vs_Healthy,-0.6695535027631334,2.562143669163401e-34,0.6695535027631334
SLC4A2,Fatal_vs_Healthy,1.3508367241031844,2.562143669163401e-34,1.3508367241031844
SLC35A3,Fatal_vs_Healthy,0.9146718953914758,2.562143669163401e-34,0.9146718953914758
SLC16A3,Fatal_vs_Healthy,1.3007542422549074,2.562143669163401e-34,1.3007542422549074
SLC39A4,Fatal_vs_Healthy,1.0024030214800363,2.562143669163401e-34,1.0024030214800363
SLC29A1,Fatal_vs_Healthy,0.9488418949061185,2.562143669163401e-34,0.9488418949061185
SLC36A1,Survivor_vs_Healthy,1.5629710019839593,2.562143669163401e-34,1.5629710019839593
SLC7A11,Survivor_vs_Healthy,-2.4550874567178194,2.562143669163401e-34,2.4550874567178194
SLC5A6,Survivor_vs_Healthy,0.8846986527956654,2.562143669163401e-34,0.8846986527956654
SLC38A2,Fatal_vs_Healthy,0.34629820985835674,2.562143669163401e-34,0.34629820985835674
SLC44A2,Fatal_vs_Healthy,0.8586391115466208,2.562143669163401e-34,0.8586391115466208
SLC1A3,Fatal_vs_Healthy,2.6766848738760207,2.562143669163401e-34,2.6766848738760207
SLC44A1,Fatal_vs_Healthy,0.7342876285750845,2.562143669163401e-34,0.7342876285750845
SLC31A1,Fatal_vs_Healthy,0.47555423219646087,2.562143669163401e-34,0.47555423219646087
SLC3A2,Fatal_vs_Healthy,0.16725561117018584,2.562143669163401e-34,0.16725561117018584
SLC39A3,Fatal_vs_Healthy,1.3722687555469664,2.562143669163401e-34,1.3722687555469664
SLC37A4,Fatal_vs_Healthy,2.5604233070032976,2.562143669163401e-34,2.5604233070032976
SLC2A6,Fatal_vs_Healthy,1.843133760803986,2.562143669163401e-34,1.843133760803986
SLC35A1,Survivor_vs_Healthy,1.5098407188615666,2.562143669163401e-34,1.5098407188615666
SLC25A5,Survivor_vs_Healthy,-0.4984472573932123,2.562143669163401e-34,0.4984472573932123
SLC25A1,Survivor_vs_Healthy,0.5011314528821152,2.562143669163401e-34,0.5011314528821152
SLC27A3,Survivor_vs_Healthy,0.8512594434846938,2.562143669163401e-34,0.8512594434846938
SLC1A5,Survivor_vs_Healthy,1.6238863832015276,2.562143669163401e-34,1.6238863832015276
SLC35B2,Survivor_vs_Healthy,-1.2062674048622057,2.562143669163401e-34,1.2062674048622057
SLC5A3,Survivor_vs_Healthy,-0.4364595570540448,2.562143669163401e-34,0.4364595570540448
SLC8A1,Survivor_vs_Healthy,0.31691070793576737,2.562143669163401e-34,0.31691070793576737
SLC9A8,Survivor_vs_Healthy,0.5438583251231006,2.562143669163401e-34,0.5438583251231006
SLC1A5,Fatal_vs_Healthy,1.719985432835832,2.562143669163401e-34,1.719985432835832
SLCO4A1,Fatal_vs_Healthy,4.593744104281885,2.562143669163401e-34,4.593744104281885
SLC25A20,Fatal_vs_Healthy,2.424575068712541,2.562143669163401e-34,2.424575068712541
SLC9A1,Fatal_vs_Healthy,-0.6725289194124191,2.562143669163401e-34,0.6725289194124191
