feature,rank_pca,rank_lda,rank_lasso,rank_shap,mean_rank,is_slc
OPTN,1340.0,341.0,67.0,450.0,549.5,False
ENPP2,2156.0,72.0,7.0,164.5,599.875,False
GBP1,2158.0,195.0,12.0,164.5,632.375,False
AC004556.1,2420.0,267.0,23.0,450.0,790.0,False
CRIP1,1315.0,1720.0,174.0,191.5,850.125,False
IFIT3,2780.0,144.0,10.0,514.0,862.0,False
CXCL10,2729.0,559.0,43.0,164.5,873.875,False
RBM17,1791.0,1199.0,268.0,253.0,877.75,False
TMSB10,2994.0,103.0,14.0,737.0,962.0,False
APOL6,2337.0,1626.0,41.0,64.0,1017.0,False
TRIM22,1626.0,1827.0,164.0,590.5,1051.875,False
CDC42EP5,2465.0,1415.0,54.0,396.5,1082.625,False
RPS12,4266.0,113.0,308.0,613.0,1325.0,False
ZDHHC19,4746.0,179.0,65.0,326.5,1329.125,False
SIGLEC12,4467.0,703.0,99.0,223.5,1373.125,False
FAU,4473.0,177.0,229.0,771.0,1412.5,False
CD2AP,2459.0,2855.0,227.0,212.0,1438.25,False
LCN2,5065.0,99.0,32.0,654.0,1462.5,False
PGLYRP1,5304.0,506.0,40.0,27.0,1469.25,False
DAAM2,4405.0,739.0,295.0,519.0,1489.5,False
VEGFA,4673.0,766.0,226.0,408.0,1518.25,False
ASPH,5245.0,468.0,22.0,464.5,1549.875,False
CD52,5477.0,642.0,30.0,172.0,1580.25,False
DHCR24,5189.0,836.0,62.0,326.5,1603.375,False
SPINT2,3325.0,2674.0,245.0,337.5,1645.375,False
ASNSD1,2169.0,3848.0,254.0,487.5,1689.625,False
TPM4,5118.0,1463.0,171.0,33.0,1696.25,False
LTF,6720.0,167.0,3.0,7.5,1724.375,False
NR4A1,4986.0,1712.0,192.0,278.0,1792.0,False
MMP9,7150.0,136.0,2.0,149.0,1859.25,False
ICOSLG,5722.0,1227.0,109.0,649.5,1926.875,False
RPL18,6972.0,66.0,132.0,681.0,1962.75,False
EIF2S2,6060.0,1298.0,128.0,468.0,1988.5,False
ACTR2,7245.0,393.0,182.0,234.5,2013.625,False
ANKH,5851.0,2202.0,114.0,548.0,2178.75,False
ZFYVE16,6966.0,799.0,121.0,858.0,2186.0,False
CLTA,7376.0,779.0,251.0,717.0,2280.75,False
ECHDC1,7523.0,683.0,289.0,905.0,2350.0,False
RPS29,6146.0,2420.0,93.0,791.0,2362.5,False
CD300LB,6573.0,2039.0,122.0,887.0,2405.25,False
CRTAP,8266.0,838.0,309.0,420.5,2458.375,False
IFI30,8380.0,955.0,13.0,534.5,2470.625,False
DNPH1,7107.0,2997.0,253.0,107.5,2616.125,False
S100A4,10225.0,433.0,48.0,619.0,2831.25,False
PFN2,7445.0,6621.0,161.0,871.0,3774.5,False
AC103591.3,6011.0,9291.0,21.0,641.0,3991.0,False
MT1X,4.0,11.0,16924.0,41.0,4245.0,False
GYG1,16.0,530.0,16924.0,4.5,4368.625,False
CD47,103.0,304.0,16924.0,164.5,4373.875,False
MT2A,650.0,4.0,16924.0,18.0,4399.0,False
RPL8,152.0,331.0,16924.0,253.0,4415.0,False
PARP9,83.0,367.0,16924.0,287.0,4415.25,False
FFAR2,227.0,620.0,16924.0,12.0,4445.75,False
SIGLEC10,857.0,13.0,16924.0,48.0,4460.5,False
LILRA1,149.0,44.0,16924.0,768.0,4471.25,False
S100P,452.0,73.0,16924.0,503.5,4488.125,False
LILRB4,36.0,345.0,16924.0,692.0,4499.25,False
SLC2A6,366.0,580.0,16924.0,179.0,4512.25,True
CD79B,139.0,324.0,16924.0,724.0,4527.75,False
STIP1,121.0,806.0,16924.0,287.0,4534.5,False
SFMBT2,216.0,536.0,16924.0,484.0,4540.0,False
NCF4,343.0,593.0,16924.0,347.5,4551.875,False
SELENOS,97.0,579.0,16924.0,626.0,4556.5,False
CR1,172.0,691.0,16924.0,450.0,4559.25,False
SEC61G,843.0,336.0,16924.0,149.0,4563.0,False
BST2,69.0,614.0,16924.0,741.0,4587.0,False
BCL2A1,536.0,900.0,16924.0,6.0,4591.5,False
HERC5,661.0,644.0,16924.0,186.5,4603.875,False
TPST1,372.0,1088.0,16924.0,94.0,4619.5,False
GTF3A,127.0,1302.0,16924.0,149.0,4625.5,False
TRIM25,370.0,929.0,16924.0,287.0,4627.5,False
FERMT3,363.0,1124.0,16924.0,149.0,4640.0,False
PIN1,868.0,769.0,16924.0,38.0,4649.75,False
PRADC1,373.0,1007.0,16924.0,337.5,4660.375,False
PPA2,1037.0,488.0,16924.0,212.0,4665.25,False
OSCAR,299.0,967.0,16924.0,478.0,4667.0,False
MBD2,288.0,1357.0,16924.0,100.5,4667.375,False
OAS2,115.0,1425.0,16924.0,212.0,4669.0,False
MNDA,429.0,477.0,16924.0,848.0,4669.5,False
ATF3,81.0,1394.0,16924.0,298.5,4674.375,False
IGFBP2,1143.0,285.0,71.0,17240.5,4684.875,False
AES,301.0,1320.0,16924.0,272.0,4704.25,False
COTL1,100.0,1172.0,16924.0,660.0,4714.0,False
SP110,199.0,969.0,16924.0,789.0,4720.25,False
METTL9,89.0,1250.0,16924.0,636.0,4724.75,False
S100A12,1458.0,107.0,16924.0,420.5,4727.375,False
GUK1,224.0,1513.0,16924.0,253.0,4728.5,False
PILRA,743.0,686.0,16924.0,565.0,4729.5,False
MT1G,1589.0,62.0,27.0,17240.5,4729.625,False
NFKBIA,266.0,1671.0,16924.0,74.5,4733.875,False
MT1M,1499.0,148.0,55.0,17240.5,4735.625,False
CAPG,447.0,866.0,16924.0,780.0,4754.25,False
PDLIM1,388.0,1439.0,16924.0,272.0,4755.75,False
DDX60,384.0,849.0,16924.0,885.0,4760.5,False
TAP1,783.0,635.0,16924.0,725.0,4766.75,False
LPCAT2,1393.0,446.0,16924.0,307.5,4767.625,False
BRI3BP,811.0,1090.0,16924.0,253.0,4769.5,False
RPS28,1661.0,173.0,16924.0,326.5,4771.125,False
ANXA5,1345.0,346.0,16924.0,479.0,4773.5,False
PRELID1,1192.0,350.0,16924.0,638.0,4776.0,False
COX16,1240.0,859.0,16924.0,100.5,4780.875,False
RPL37,1608.0,257.0,47.0,17240.5,4788.125,False
RAB2A,1135.0,998.0,16924.0,113.5,4792.625,False
PLGRKT,1784.0,408.0,16924.0,59.0,4793.75,False
ST14,64.0,1958.0,16924.0,253.0,4799.75,False
MT-ND4,426.0,1327.0,16924.0,527.0,4801.0,False
GGT5,1540.0,360.0,68.0,17240.5,4802.125,False
TMED5,766.0,1201.0,16924.0,326.5,4804.375,False
ITGA9,355.0,1041.0,16924.0,907.0,4806.75,False
ANKRD22,1954.0,61.0,19.0,17240.5,4818.625,False
CANX,765.0,925.0,16924.0,667.0,4820.25,False
CTSC,2194.0,135.0,16924.0,34.0,4821.75,False
TFDP1,315.0,1751.0,16924.0,347.5,4834.375,False
DGUOK-AS1,334.0,1969.0,16924.0,120.0,4836.75,False
XPA,595.0,1789.0,16924.0,45.0,4838.25,False
KCNMA1,165.0,2187.0,16924.0,85.0,4840.25,False
PTTG1IP,82.0,2021.0,16924.0,337.5,4841.125,False
DNAJA1,482.0,1341.0,16924.0,622.0,4842.25,False
PECAM1,465.0,1773.0,16924.0,212.0,4843.5,False
TNIP1,897.0,1424.0,16924.0,134.0,4844.75,False
DEXI,963.0,1053.0,16924.0,450.0,4847.5,False
NECAP2,936.0,1253.0,16924.0,287.0,4850.0,False
IL3RA,1450.0,684.0,63.0,17240.5,4859.375,False
RAB27A,258.0,1849.0,16924.0,420.5,4862.875,False
PDCD6IP,1797.0,655.0,16924.0,85.0,4865.25,False
TNIP3,1000.0,980.0,249.0,17240.5,4867.375,False
TIMP1,2261.0,175.0,16924.0,127.5,4871.875,False
CYP27A1,247.0,1978.0,16924.0,347.5,4874.125,False
UBB,1170.0,869.0,231.0,17240.5,4877.625,False
NR1D2,483.0,1240.0,16924.0,873.0,4880.0,False
ZFYVE9,538.0,1681.0,16924.0,383.5,4881.625,False
PMAIP1,1842.0,419.0,46.0,17240.5,4886.875,False
SOCS1,1453.0,704.0,152.0,17240.5,4887.375,False
DCTN2,492.0,2005.0,16924.0,131.5,4888.125,False
CIDEB,732.0,1193.0,16924.0,707.0,4889.0,False
CALU,1624.0,728.0,16924.0,307.5,4895.875,False
JOSD2,463.0,1309.0,16924.0,906.0,4900.5,False
TMEM107,982.0,1375.0,16924.0,337.5,4904.625,False
DCTN3,818.0,1284.0,16924.0,629.0,4913.75,False
ADK,1526.0,797.0,100.0,17240.5,4915.875,False
PGS1,866.0,1247.0,16924.0,627.0,4916.0,False
CITED4,591.0,1636.0,16924.0,532.0,4920.75,False
TPMT,1644.0,908.0,16924.0,212.0,4922.0,False
HNRNPAB,1734.0,744.0,16924.0,287.0,4922.25,False
CD300E,1782.0,455.0,16924.0,530.0,4922.75,False
RRP15,929.0,1065.0,16924.0,774.0,4923.0,False
CEP350,1160.0,1558.0,16924.0,81.0,4930.75,False
SELENOK,251.0,1987.0,16924.0,561.0,4930.75,False
PTPN2,381.0,1805.0,16924.0,620.0,4932.5,False
LILRA2,1506.0,771.0,233.0,17240.5,4937.625,False
BCAP29,895.0,1707.0,16924.0,253.0,4944.75,False
FLT3,431.0,1559.0,16924.0,871.0,4946.25,False
CYP1B1,964.0,1898.0,16924.0,1.0,4946.75,False
SNX2,252.0,2314.0,16924.0,307.5,4949.375,False
MSH3,970.0,1628.0,16924.0,287.0,4952.25,False
TYMP,2213.0,343.0,18.0,17240.5,4953.625,False
MID1IP1,275.0,2371.0,16924.0,253.0,4955.75,False
WDR43,757.0,1851.0,16924.0,307.5,4959.875,False
CTSZ,1777.0,773.0,16924.0,371.5,4961.375,False
ZNF703,716.0,2054.0,16924.0,179.0,4968.25,False
LSM1,1574.0,519.0,16924.0,865.0,4970.5,False
MT1A,2142.0,439.0,61.0,17240.5,4970.625,False
TPD52L2,145.0,2542.0,16924.0,337.5,4987.125,False
MRPL52,2802.0,53.0,16924.0,179.0,4989.5,False
IRF7,1837.0,798.0,102.0,17240.5,4994.375,False
ALOX15B,2051.0,621.0,16924.0,383.5,4994.875,False
PDIA4,2468.0,202.0,16924.0,396.5,4997.625,False
CMC1,1105.0,1677.0,16924.0,298.5,5001.125,False
IL6,1802.0,917.0,58.0,17240.5,5004.375,False
TACC1,242.0,2868.0,16924.0,22.0,5014.0,False
ASCL2,1363.0,1236.0,240.0,17240.5,5019.875,False
CFD,2768.0,240.0,16924.0,149.0,5020.25,False
C1QB,1745.0,787.0,16924.0,635.0,5022.75,False
ACAP1,1641.0,1235.0,16924.0,298.5,5024.625,False
PUDP,1250.0,1514.0,16924.0,420.5,5027.125,False
C16orf87,78.0,2774.0,16924.0,337.5,5028.375,False
MRPL21,1747.0,758.0,16924.0,685.0,5028.5,False
IDO1,2578.0,271.0,25.0,17240.5,5028.625,False
RPS27L,2924.0,239.0,16924.0,74.5,5040.375,False
HYOU1,2803.0,417.0,16924.0,21.0,5041.25,False
MXD1,659.0,2312.0,16924.0,272.0,5041.75,False
TBPL1,763.0,2160.0,16924.0,337.5,5046.125,False
PRDX2,1125.0,1414.0,16924.0,723.0,5046.5,False
CCDC112,542.0,2198.0,16924.0,526.0,5047.5,False
LAMP1,1390.0,1570.0,16924.0,307.5,5047.875,False
CTDSP1,1292.0,1828.0,16924.0,212.0,5064.0,False
VAMP8,2332.0,237.0,16924.0,775.5,5067.125,False
SLC25A24,2430.0,617.0,16924.0,307.5,5069.625,False
CISD2,1007.0,1968.0,16924.0,396.5,5073.875,False
BCL2L1,293.0,2326.0,16924.0,760.0,5075.75,False
HAPLN3,2044.0,1029.0,49.0,17240.5,5090.625,False
LTB4R,134.0,3042.0,16924.0,272.0,5093.0,False
KLF3,1371.0,1146.0,16924.0,938.0,5094.75,False
TSNAX,1684.0,1486.0,16924.0,287.0,5095.25,False
IK,1376.0,2028.0,16924.0,66.0,5098.5,False
NIFK,1564.0,1748.0,16924.0,212.0,5112.0,False
SIGLEC14,2754.0,425.0,31.0,17240.5,5112.625,False
ARL2BP,178.0,2655.0,16924.0,699.0,5114.0,False
UBXN2B,699.0,2395.0,16924.0,450.0,5117.0,False
ACVRL1,1403.0,1795.0,16924.0,361.5,5120.875,False
IL2RA,2265.0,926.0,57.0,17240.5,5122.125,False
CENPU,910.0,2650.0,16924.0,4.5,5122.125,False
CDC42EP4,621.0,2907.0,16924.0,40.0,5123.0,False
UQCRC1,1696.0,1376.0,16924.0,505.0,5125.25,False
NDFIP1,2058.0,861.0,16924.0,695.0,5134.5,False
NUTF2,2216.0,820.0,16924.0,607.0,5141.75,False
AL355922.1,229.0,3378.0,16924.0,58.0,5147.25,False
FAM198B,208.0,3330.0,16924.0,136.5,5149.625,False
PLEKHO1,2620.0,979.0,16924.0,120.0,5160.75,False
NEK7,1571.0,1598.0,16924.0,568.5,5165.375,False
BIN2,583.0,2970.0,16924.0,223.5,5175.125,False
SCAMP4,2177.0,1006.0,16924.0,625.0,5183.0,False
SNX1,737.0,2941.0,16924.0,149.0,5187.75,False
BMP2,86.0,3587.0,16924.0,191.5,5197.125,False
RNF20,1538.0,1784.0,16924.0,546.0,5198.0,False
PGGT1B,1179.0,2203.0,16924.0,497.0,5200.75,False
TFEC,1056.0,2466.0,16924.0,383.5,5207.375,False
COX6C,2399.0,625.0,16924.0,886.0,5208.5,False
IFIT2,3317.0,287.0,20.0,17240.5,5216.125,False
NACC1,1303.0,2190.0,16924.0,450.0,5216.75,False
MAGED2,1905.0,1693.0,16924.0,371.5,5223.375,False
CMTM7,990.0,2099.0,16924.0,913.0,5231.5,False
RHOBTB2,1419.0,2434.0,16924.0,149.0,5231.5,False
EIF3I,1165.0,2532.0,16924.0,313.5,5233.625,False
MX2,272.0,3275.0,16924.0,475.5,5236.625,False
TSEN15,2278.0,1699.0,16924.0,52.0,5238.25,False
ITGAE,1035.0,2179.0,16924.0,829.0,5241.75,False
ZWINT,1795.0,1887.0,16924.0,371.5,5244.375,False
TMEM126B,666.0,2553.0,16924.0,844.0,5246.75,False
TUBB4B,2113.0,1717.0,16924.0,234.5,5247.125,False
RPS25,3101.0,164.0,16924.0,803.0,5248.0,False
OAS3,3342.0,363.0,50.0,17240.5,5248.875,False
FAM204A,405.0,2748.0,16924.0,926.0,5250.75,False
JUP,1072.0,2878.0,16924.0,131.5,5251.375,False
CD69,1268.0,2649.0,16924.0,204.0,5261.25,False
CBWD2,872.0,2632.0,16924.0,645.0,5268.25,False
PRKAR2B,3107.0,718.0,16924.0,337.5,5271.625,False
HLA-DQB1,3640.0,196.0,16924.0,326.5,5271.625,False
AKR1A1,3375.0,435.0,44.0,17240.5,5273.625,False
MUC1,2860.0,930.0,16924.0,396.5,5277.625,False
EPC1,906.0,2475.0,16924.0,828.0,5283.25,False
NDUFC2,3425.0,674.0,16924.0,164.5,5296.875,False
SMARCA5,916.0,3316.0,16924.0,37.0,5298.25,False
SLC30A9,771.0,3322.0,16924.0,186.5,5300.875,False
NUCKS1,556.0,2814.0,16924.0,919.0,5303.25,False
ISG15,3734.0,208.0,36.0,17240.5,5304.625,False
TGM2,3177.0,755.0,51.0,17240.5,5305.875,False
DPH3,1604.0,2141.0,16924.0,560.0,5307.25,False
ROPN1L,1721.0,2191.0,16924.0,420.5,5314.125,False
GBP5,3720.0,296.0,38.0,17240.5,5323.625,False
CHMP1B,2187.0,1402.0,16924.0,782.5,5323.875,False
GTF2I,3227.0,1025.0,16924.0,120.0,5324.0,False
DENR,1528.0,2825.0,16924.0,36.0,5328.25,False
LTBR,1891.0,2020.0,16924.0,484.0,5329.75,False
IFIH1,815.0,3034.0,16924.0,549.0,5330.5,False
PSMG1,739.0,2880.0,16924.0,787.5,5332.625,False
AL139220.2,1973.0,1856.0,16924.0,600.5,5338.375,False
GPR183,3647.0,423.0,16924.0,383.5,5344.375,False
ANXA4,3739.0,453.0,16924.0,272.0,5347.0,False
RPL4,4013.0,211.0,16924.0,253.0,5350.25,False
MTHFD1L,369.0,3621.0,16924.0,517.0,5357.75,False
