gene,comparison,log2fc,p_value,abs_log2fc
SLC28A2,HSCT_vs_Normal,-19.245380299842783,3.8104676730442175e-39,19.245380299842783
SLC28A2,PDAC_vs_Normal,-19.245380299842783,3.8104676730442175e-39,19.245380299842783
SLC28A2,GCSF_vs_Normal,-19.245380299842783,3.8104676730442175e-39,19.245380299842783
SLC22A5,HSCT_vs_Normal,-18.95493095413628,4.088467891103425e-39,18.95493095413628
SLC22A5,GCSF_vs_Normal,-18.95493095413628,4.088467891103425e-39,18.95493095413628
SLC22A5,PDAC_vs_Normal,-18.95493095413628,4.088467891103425e-39,18.95493095413628
SLC18A2,PDAC_vs_Normal,-18.919912434713183,4.13260629625343e-39,18.919912434713183
SLC18A2,HSCT_vs_Normal,-18.919912434713183,4.13260629625343e-39,18.919912434713183
SLC18A2,GCSF_vs_Normal,-18.919912434713183,4.13260629625343e-39,18.919912434713183
SLC39A4,HSCT_vs_Normal,-19.489431241041608,4.432867289802689e-39,19.489431241041608
SLC39A4,GCSF_vs_Normal,-19.489431241041608,4.432867289802689e-39,19.489431241041608
SLC39A4,PDAC_vs_Normal,-19.489431241041608,4.432867289802689e-39,19.489431241041608
SLC15A2,HSCT_vs_Normal,-19.479845205279528,4.621846485434387e-39,19.479845205279528
SLC15A2,GCSF_vs_Normal,-19.479845205279528,4.621846485434387e-39,19.479845205279528
SLC15A2,PDAC_vs_Normal,-19.479845205279528,4.621846485434387e-39,19.479845205279528
SLC26A4,PDAC_vs_Normal,-19.691895412685366,4.7642378627066996e-39,19.691895412685366
SLC26A4,HSCT_vs_Normal,-19.691895412685366,4.7642378627066996e-39,19.691895412685366
SLC26A4,GCSF_vs_Normal,-19.691895412685366,4.7642378627066996e-39,19.691895412685366
SLC9A7,GCSF_vs_Normal,-20.322488004466088,4.772331601792809e-39,20.322488004466088
SLC9A7,PDAC_vs_Normal,-20.322488004466088,4.772331601792809e-39,20.322488004466088
SLC9A7,HSCT_vs_Normal,-20.322488004466088,4.772331601792809e-39,20.322488004466088
SLC26A2,PDAC_vs_Normal,-20.490624050120683,4.816910113022558e-39,20.490624050120683
SLC26A2,HSCT_vs_Normal,-20.490624050120683,4.816910113022558e-39,20.490624050120683
SLC26A2,GCSF_vs_Normal,-20.490624050120683,4.816910113022558e-39,20.490624050120683
SLC19A2,HSCT_vs_Normal,-20.742878460117367,4.8515053358091904e-39,20.742878460117367
SLC19A2,PDAC_vs_Normal,-20.742878460117367,4.8515053358091904e-39,20.742878460117367
SLC19A2,GCSF_vs_Normal,-20.742878460117367,4.8515053358091904e-39,20.742878460117367
SLC4A7,HSCT_vs_Normal,-20.22544030827397,4.9040345077845565e-39,20.22544030827397
SLC4A7,PDAC_vs_Normal,-20.22544030827397,4.9040345077845565e-39,20.22544030827397
SLC4A7,GCSF_vs_Normal,-20.22544030827397,4.9040345077845565e-39,20.22544030827397
SLC25A39,PDAC_vs_Normal,-20.050307491880805,4.931961591104794e-39,20.050307491880805
SLC25A39,HSCT_vs_Normal,-20.050307491880805,4.931961591104794e-39,20.050307491880805
SLC25A39,GCSF_vs_Normal,-20.050307491880805,4.931961591104794e-39,20.050307491880805
SLC35B2,PDAC_vs_Normal,-20.482246707285388,4.932325300374268e-39,20.482246707285388
SLC35B2,GCSF_vs_Normal,-20.482246707285388,4.932325300374268e-39,20.482246707285388
SLC35B2,HSCT_vs_Normal,-20.482246707285388,4.932325300374268e-39,20.482246707285388
SLC26A6,PDAC_vs_Normal,-20.211027662351988,4.941790942651138e-39,20.211027662351988
SLC26A6,GCSF_vs_Normal,-20.211027662351988,4.941790942651138e-39,20.211027662351988
SLC26A6,HSCT_vs_Normal,-20.211027662351988,4.941790942651138e-39,20.211027662351988
SLC6A1,PDAC_vs_Normal,-20.299512533564172,4.9691952048937906e-39,20.299512533564172
SLC6A1,HSCT_vs_Normal,-20.299512533564172,4.9691952048937906e-39,20.299512533564172
SLC6A1,GCSF_vs_Normal,-20.299512533564172,4.9691952048937906e-39,20.299512533564172
