feature,rank_pca,rank_lda,rank_lasso,rank_shap,mean_rank,is_slc
HLA-C,89.0,18.0,172.0,103.0,95.5,False
SDCBP,70.0,66.0,148.0,221.5,126.375,False
TALDO1,113.0,39.0,363.0,244.0,189.75,False
VASP,129.0,164.0,246.0,268.5,201.875,False
LSP1,104.0,102.0,385.0,374.0,241.25,False
LAMTOR4,189.0,122.0,370.0,320.0,250.25,False
ANXA11,379.0,202.0,399.0,168.5,287.125,False
EFHD2,338.0,335.0,239.0,320.0,308.0,False
LRP10,417.0,138.0,440.0,341.5,334.125,False
CLK1,372.0,280.0,612.0,89.0,338.25,False
NRBF2,324.0,130.0,575.0,341.5,342.625,False
STAT3,274.0,500.0,362.0,411.0,386.75,False
MYL6,27.0,1071.0,230.0,221.5,387.375,False
ACOX1,517.0,362.0,487.0,294.5,415.125,False
CREB1,606.0,154.0,1043.0,26.5,457.375,False
HNRNPH2,626.0,469.0,681.0,65.0,460.25,False
IFIT2,529.0,287.0,638.0,433.5,471.875,False
PROK2,557.0,370.0,571.0,411.0,477.25,False
RBM5,798.0,382.0,734.0,48.0,490.5,False
MYO9B,771.0,223.0,779.0,268.5,510.375,False
FGR,374.0,603.0,640.0,442.5,514.875,False
CMIP,624.0,192.0,934.0,320.0,517.5,False
IFI16,684.0,215.0,818.0,411.0,532.0,False
RPS6KA1,701.0,391.0,868.0,357.5,579.375,False
HNRNPA2B1,463.0,1623.0,216.0,41.0,585.75,False
RAF1,354.0,1255.0,445.0,411.0,616.25,False
RCSD1,746.0,1141.0,557.0,77.5,630.375,False
RPLP1,369.0,1245.0,824.0,133.0,642.75,False
SERF2,697.0,1119.0,730.0,117.0,665.75,False
PARP8,411.0,1423.0,548.0,341.5,680.875,False
RPS27,892.0,433.0,1179.0,320.0,706.0,False
RIOK3,491.0,952.0,1104.0,320.0,716.75,False
SLC9A3R1,678.0,1529.0,663.0,103.0,743.25,False
RPS28,584.0,838.0,1374.0,268.5,766.125,False
HELZ,1377.0,682.0,871.0,150.5,770.125,False
PRKDC,1317.0,655.0,916.0,294.5,795.625,False
ARHGAP45,607.0,1770.0,737.0,150.5,816.125,False
GOLGA7,1079.0,916.0,1141.0,202.5,834.625,False
UPF2,1125.0,902.0,872.0,475.0,843.5,False
TSC22D4,1033.0,1431.0,1148.0,14.0,906.5,False
XRN2,1119.0,1818.0,525.0,168.5,907.625,False
TNIP1,960.0,1616.0,1068.0,41.0,921.25,False
SDF2,1374.0,1118.0,1022.0,244.0,939.5,False
CASC3,1044.0,1476.0,1105.0,186.0,952.75,False
TACC1,1218.0,1303.0,1277.0,77.5,968.875,False
PSEN1,1026.0,1313.0,1201.0,374.0,978.5,False
KPNA4,1316.0,1052.0,1476.0,103.0,986.75,False
TPI1,1272.0,1473.0,996.0,244.0,996.25,False
SH3BP5,1499.0,1006.0,1427.0,89.0,1005.25,False
TMEM91,1185.0,2380.0,279.0,221.5,1016.375,False
LPIN2,1023.0,1860.0,933.0,294.5,1027.625,False
GNAI3,893.0,2543.0,554.0,168.5,1039.625,False
LMBRD1,700.0,1934.0,1351.0,186.0,1042.75,False
RTF2,1229.0,1779.0,1209.0,77.5,1073.625,False
RBM8A,1521.0,1652.0,1112.0,133.0,1104.5,False
FBXO38,1794.0,1279.0,1328.0,57.5,1114.625,False
BRK1,1824.0,1357.0,1247.0,244.0,1168.0,False
TMEM127,1140.0,2251.0,995.0,341.5,1181.875,False
MYL12B,327.0,3775.0,337.0,294.5,1183.375,False
TMEM123,1348.0,2152.0,1134.0,150.5,1196.125,False
MBNL1,307.0,3612.0,443.0,450.0,1203.0,False
AGO2,1432.0,2608.0,791.0,77.5,1227.125,False
EHD1,1107.0,2756.0,754.0,357.5,1243.625,False
PAN3,1311.0,2731.0,901.0,103.0,1261.5,False
EPB41,432.0,4320.0,24.0,433.5,1302.375,False
NAIP,1361.0,2536.0,1337.0,396.0,1407.5,False
E2F3,1133.0,3984.0,496.0,268.5,1470.375,False
RPS29,1235.0,3358.0,1398.0,89.0,1520.0,False
TMEM43,2083.0,2889.0,1313.0,268.5,1638.375,False
SOS2,1275.0,4186.0,1430.0,57.5,1737.125,False
APMAP,1718.0,3678.0,1411.0,341.5,1787.125,False
MAFF,1669.0,4317.0,1172.0,8.5,1791.625,False
LRMP,415.0,6752.0,7.0,57.5,1807.875,False
DDX60L,1055.0,5143.0,1026.0,202.5,1856.625,False
FOS,21.0,7.0,76.0,7753.0,1964.25,False
S100A9,14.0,23.0,74.0,7753.0,1966.0,False
SAT1,30.0,25.0,58.0,7753.0,1966.5,False
SRGN,26.0,5.0,85.0,7753.0,1967.25,False
CAP1,18.0,38.0,64.0,7753.0,1968.25,False
