feature,lda_score
MAR05466__cv,5.353649862195905e+27
MAR03715__sd_flux,3.977054464299111e+27
MAR06603__mean_flux,3.607704177101769e+27
MAR10388__sd_flux,3.5651085744847225e+27
MAR07955__ci_upper,2.987314488532138e+27
MAR03624__sd_flux,2.577243635226522e+27
MAR00128__mean_flux,2.4496028636356616e+27
MAR02183__ci_upper,2.4496028636356616e+27
MAR09624__sd_flux,2.3843863040822e+27
MAR01572__ci_upper,2.3808453644841466e+27
MAR02801__ci_lower,2.2021338829166191e+27
MAR03745__sd_flux,2.0718859471233608e+27
MAR02482__ci_upper,1.9593248005049537e+27
MAR04790__cv,1.8550406615449354e+27
MAR00112__cv,1.8316840289140879e+27
MAR02662__cv,1.8316840289140879e+27
MAR03916__cv,1.6571143923288927e+27
MAR02727__sd_flux,1.5978791436436935e+27
MAR00128__sd_flux,1.5978791436436935e+27
MAR12090__cv,1.43241663424832e+27
MAR09293__sd_flux,1.3976367332467796e+27
MAR08678__sd_flux,1.391906198736503e+27
MAR08678__cv,1.2411617606046413e+27
MAR02264__ci_lower,1.1646354525207903e+27
MAR02265__ci_lower,1.1646354525207903e+27
MAR02707__ci_lower,1.1462736539964134e+27
MAR00500__sd_flux,1.1260339547369628e+27
MAR09035__ci_upper,1.0563679740408472e+27
MAR11978__sd_flux,1.0533766304354232e+27
MAR00500__cv,1.0436730275120879e+27
MAR09674__cv,1.0058281018958436e+27
MAR04644__ci_lower,9.728332595431622e+26
MAR03108__ci_upper,9.506083550504803e+26
MAR02501__ci_upper,9.506083550504803e+26
MAR01811__mean_flux,9.304314906529315e+26
MAR01813__mean_flux,9.304314906529315e+26
MAR02234__sd_flux,9.244335343115142e+26
MAR02889__mean_flux,9.090841187062391e+26
MAR04917__cv,9.077891716777343e+26
MAR11989__cv,8.95228612616732e+26
MAR01253__sd_flux,8.892441021981013e+26
MAR01253__mean_flux,8.892441021981013e+26
MAR01247__sd_flux,8.892441021981013e+26
MAR01247__mean_flux,8.892441021981013e+26
MAR09987__cv,8.767029360134065e+26
MAR00525__mean_flux,8.653874027875034e+26
MAR02561__cv,8.636681975451924e+26
MAR03150__mean_flux,8.443662282417554e+26
MAR02629__ci_upper,8.251826915720833e+26
MAR02526__ci_lower,8.251826915720833e+26
MAR04930__ci_upper,8.054016331586376e+26
MAR02606__ci_lower,8.04985240219093e+26
MAR10254__ci_lower,7.90256234688194e+26
MAR02856__mean_flux,7.848850851210757e+26
MAR09293__cv,7.830860336225457e+26
MAR09628__sd_flux,7.803395307651884e+26
MAR03868__ci_lower,7.577083346919919e+26
MAR06219__cv,7.326325238267761e+26
MAR02108__cv,7.28156191108279e+26
MAR03715__cv,7.146889236494488e+26
MAR07770__sd_flux,7.02527850030817e+26
MAR02844__ci_lower,6.891210516439286e+26
MAR09987__sd_flux,6.891210516439286e+26
MAR03845__ci_upper,6.68540135731869e+26
MAR04644__ci_upper,6.68540135731869e+26
MAR11375__ci_upper,6.573993493699052e+26
MAR11376__ci_upper,6.573993493699052e+26
MAR05315__cv,6.548202844290467e+26
MAR06209__ci_lower,6.541569560189366e+26
MAR08981__ci_upper,6.352241681160184e+26
MAR03593__mean_flux,6.319925010253133e+26
MAR01755__sd_flux,6.208129320988614e+26
MAR10400__cv,6.1246819847198006e+26
MAR10339__cv,6.1246819847198006e+26
MAR07252__mean_flux,6.124187136493724e+26
