,is_slc
MAR04762,False
MAR08641,False
MAR07599,False
MAR07601,False
MAR05227,False
MAR00031,False
MAR00021,False
MAR00022,False
MAR00023,False
MAR00033,False
MAR00034,False
MAR04413,False
MAR09931,False
MAR09932,False
MAR12140,False
MAR09200,True
MAR09199,True
MAR09080,False
MAR03905,False
MAR04411,False
MAR11649,False
MAR03907,False
MAR04097,False
MAR04099,False
MAR04108,False
MAR04133,False
MAR04281,False
MAR04388,False
MAR04283,False
MAR08357,False
MAR04379,False
MAR04301,False
MAR04355,False
MAR04358,False
MAR04360,False
MAR04363,False
MAR04365,False
MAR04368,False
MAR04370,False
MAR04371,False
MAR04372,False
MAR04373,False
MAR04375,False
MAR04377,False
MAR04381,False
MAR04391,False
MAR04394,False
MAR04396,False
MAR04521,False
MAR06412,False
MAR07747,False
MAR08360,False
MAR08757,False
MAR03989,False
MAR04122,False
MAR04837,False
MAR05395,False
MAR05396,False
MAR09727,False
MAR05397,False
MAR05398,False
MAR05399,False
MAR05400,False
MAR05401,False
MAR08568,False
MAR08569,False
MAR08570,False
MAR08571,False
MAR08572,False
MAR08573,False
MAR08574,False
MAR08575,False
MAR08576,False
MAR08577,False
MAR08578,False
MAR08579,False
MAR08581,False
MAR08591,False
MAR08592,False
MAR08580,False
MAR08582,False
MAR08587,False
MAR08589,False
MAR08583,False
MAR08584,False
MAR08585,False
MAR03944,False
MAR04128,False
MAR04130,False
MAR04131,False
MAR04132,False
MAR04303,False
MAR04414,False
MAR04415,False
MAR04416,False
MAR04774,False
MAR04775,False
MAR04831,False
MAR04832,False
MAR07674,False
MAR08761,False
MAR08762,False
MAR08764,False
MAR08766,False
MAR08767,False
MAR00454,False
MAR04297,False
MAR04315,False
MAR04316,False
MAR04319,False
MAR04383,False
MAR04385,False
MAR04386,False
MAR04387,False
MAR04399,False
MAR04400,False
MAR04401,False
MAR04402,False
MAR04490,False
MAR04706,False
MAR08768,False
MAR04590,False
MAR04591,False
MAR04592,False
MAR04593,False
MAR04595,False
MAR08341,False
MAR08342,False
MAR08344,False
MAR08352,False
MAR08353,False
MAR08726,False
MAR08727,False
MAR08728,False
MAR08729,False
MAR06537,False
MAR01568,False
MAR03853,False
MAR03854,False
MAR03855,False
MAR03857,False
MAR03859,False
MAR04087,False
MAR04089,False
MAR04091,False
MAR04093,False
MAR04095,False
MAR04101,False
MAR04103,False
MAR04143,False
MAR04193,False
MAR08497,False
MAR08498,False
MAR08499,False
MAR08500,False
MAR08501,False
MAR08502,False
MAR08503,False
MAR08504,False
MAR08506,False
MAR08507,False
MAR08508,False
MAR08509,False
MAR08511,False
MAR08512,False
MAR08514,False
MAR08516,False
MAR08517,False
MAR04280,False
MAR00153,False
MAR03212,False
MAR03797,False
MAR03800,False
MAR04105,False
MAR04106,False
MAR04107,False
MAR04282,False
MAR04331,False
MAR04459,False
MAR04460,False
MAR04464,False
MAR04497,False
MAR04741,False
MAR08078,False
MAR09803,False
MAR09804,False
MAR01434,False
MAR01436,False
MAR03163,False
MAR04461,False
MAR04604,False
MAR05351,False
MAR07709,False
MAR04052,False
MAR04304,False
MAR04350,False
MAR04351,False
MAR04352,False
MAR04354,False
MAR04398,False
MAR04404,False
MAR04473,False
MAR04474,False
MAR04476,False
MAR04477,False
MAR04501,False
MAR04565,False
MAR04567,False
MAR04623,False
MAR04625,False
MAR04710,False
MAR04841,False
MAR08074,False
MAR08653,False
MAR03998,False
MAR04000,False
MAR04002,False
MAR04004,False
MAR04010,False
MAR04081,False
MAR04082,False
MAR04012,False
MAR04014,False
MAR04020,False
MAR04022,False
MAR04038,False
MAR04040,False
MAR04042,False
MAR04046,False
MAR04048,False
MAR04080,False
MAR04085,False
MAR04086,False
MAR04134,False
MAR04135,False
MAR04168,False
MAR04171,False
MAR04290,False
MAR04406,False
MAR04412,False
MAR04417,False
MAR04418,False
MAR04419,False
MAR04421,False
MAR04449,False
MAR04450,False
MAR04451,False
MAR04452,False
MAR04453,False
MAR04480,False
MAR04481,False
MAR04482,False
MAR04486,False
MAR04487,False
MAR04488,False
MAR04489,False
MAR04492,False
MAR04493,False
MAR04495,False
MAR04496,False
MAR04518,False
MAR04519,False
MAR04520,False
MAR04573,False
MAR04574,False
MAR04600,False
MAR04602,False
MAR04603,False
MAR04611,False
MAR04612,False
MAR04614,False
MAR04615,False
MAR04617,False
MAR04618,False
MAR04619,False
MAR04621,False
MAR04632,False
MAR04646,False
MAR04648,False
MAR04649,False
MAR04650,False
MAR04651,False
MAR04663,False
MAR04664,False
MAR04694,False
MAR04695,False
MAR04705,False
MAR04709,False
MAR04799,False
MAR04802,False
MAR04804,False
MAR04808,False
MAR04810,False
MAR04812,False
MAR04814,False
MAR05301,False
MAR05353,False
MAR06602,False
MAR06603,False
MAR06605,False
MAR06606,False
MAR06607,False
MAR06610,False
MAR06611,False
MAR07144,False
MAR08755,False
MAR09797,False
MAR04016,False
MAR04018,False
MAR04044,False
MAR04291,False
MAR04420,False
MAR04570,False
MAR04572,False
MAR04006,False
MAR04028,False
MAR04030,False
MAR04670,False
MAR04673,False
MAR04675,False
MAR06614,False
MAR06615,False
MAR06616,False
MAR04635,False
MAR03793,False
MAR03931,False
MAR03969,False
MAR03970,False
MAR04008,False
MAR04032,False
MAR04034,False
MAR04036,False
MAR04050,False
MAR04056,False
MAR04059,False
MAR04060,False
MAR04127,False
MAR04177,False
MAR04179,False
MAR04182,False
MAR04183,False
MAR04192,False
MAR04194,False
MAR04210,False
MAR04211,False
MAR04343,False
MAR04345,False
MAR04346,False
MAR04470,False
MAR04471,False
MAR04472,False
MAR04484,False
MAR04485,False
MAR04510,False
MAR04512,False
MAR04513,False
MAR04514,False
MAR04577,False
MAR04579,False
MAR04580,False
MAR04608,False
MAR04575,False
MAR04637,False
MAR04642,False
MAR04643,False
MAR04644,False
MAR04672,False
MAR04676,False
MAR04736,False
MAR04819,False
MAR05299,False
MAR05352,False
MAR06612,False
MAR06613,False
MAR06621,False
MAR06622,False
MAR06623,False
MAR06624,False
MAR06627,False
MAR08072,False
MAR08637,False
MAR03965,False
MAR03966,False
MAR03967,False
MAR03968,False
MAR03999,False
MAR04024,False
MAR04026,False
MAR04054,False
MAR04061,False
MAR04083,False
MAR04136,False
MAR04180,False
MAR04185,False
MAR04186,False
MAR04342,False
MAR04344,False
MAR04483,False
MAR04507,False
MAR04516,False
MAR04601,False
MAR04633,False
MAR04640,False
MAR04641,False
MAR04680,False
MAR04806,False
MAR05394,False
MAR06625,False
MAR06626,False
MAR07160,False
MAR07161,False
MAR07162,False
MAR07163,False
MAR07164,False
MAR07713,False
MAR07716,False
MAR07717,False
MAR07721,False
MAR07725,False
MAR07728,False
MAR07800,False
MAR07801,False
MAR07802,False
MAR07863,False
MAR07864,False
MAR07865,False
MAR07866,False
MAR07867,False
MAR07868,False
MAR07869,False
MAR07870,False
MAR07871,False
MAR07872,False
MAR07873,False
MAR07874,False
MAR07875,False
MAR07876,False
MAR07878,False
MAR07879,False
MAR07880,False
MAR07881,False
MAR07882,False
MAR07883,False
MAR07884,False
MAR07885,False
MAR07886,False
MAR07887,False
MAR07888,False
MAR07889,False
MAR07890,False
MAR07891,False
MAR07892,False
MAR07893,False
MAR07895,False
MAR08083,False
MAR08085,False
MAR08087,False
MAR08443,False
MAR08444,False
MAR08445,False
MAR08446,False
MAR08448,False
MAR08449,False
MAR08450,False
MAR08451,False
MAR08452,False
MAR08453,False
MAR08454,False
MAR08455,False
MAR08456,False
MAR08457,False
MAR08458,False
MAR08459,False
MAR08460,False
MAR08461,False
MAR08462,False
MAR08463,False
MAR08464,False
MAR08465,False
MAR08466,False
MAR08467,False
MAR08468,False
MAR08469,False
MAR08470,False
MAR08471,False
MAR08472,False
MAR08473,False
MAR08474,False
MAR08477,False
MAR08478,False
MAR08479,False
MAR08480,False
MAR08481,False
MAR08482,False
MAR08483,False
