feature,rank_pca,rank_lda,rank_lasso,rank_shap,mean_rank,rxn_id,is_slc
MAR02712__mean_flux,4662.0,1050.0,3703.0,752.0,2541.75,MAR02712,True
MAR02892__sd_flux,4565.0,891.0,3784.0,1181.0,2605.25,MAR02892,True
MAR06389__mean_flux,6417.0,1327.0,1970.0,811.0,2631.25,MAR06389,True
MAR09793__cv,6386.0,1914.0,2033.0,311.5,2661.125,MAR09793,True
MAR20131__ci_upper,1130.0,1974.0,7183.0,718.5,2751.375,MAR20131,True
MAR02715__ci_upper,775.0,3718.0,6772.0,301.5,2891.625,MAR02715,True
MAR00128__mean_flux,2785.5,7.5,7707.0,1251.0,2937.75,MAR00128,True
MAR09914__cv,681.0,3051.0,6625.0,1401.0,2939.5,MAR09914,True
MAR00143__cv,1085.0,3111.0,6771.0,888.0,2963.75,MAR00143,True
MAR02892__mean_flux,6647.5,1623.5,3748.5,47.0,3016.625,MAR02892,True
MAR02898__mean_flux,6653.5,1195.5,3756.5,889.0,3123.625,MAR02898,True
MAR06004__mean_flux,2725.0,1117.0,8621.0,502.0,3241.25,MAR06004,True
MAR04661__cv,4724.0,821.0,6534.0,1422.0,3375.25,MAR04661,True
MAR04237__sd_flux,1266.0,3333.0,8585.0,1197.0,3595.25,MAR04237,True
MAR00143__mean_flux,3143.0,1924.0,9101.0,436.0,3651.0,MAR00143,True
MAR04645__ci_upper,3574.0,586.0,9734.0,870.0,3691.0,MAR04645,True
MAR06310__mean_flux,1969.5,4850.5,8175.0,67.5,3765.625,MAR06310,True
MAR00162__sd_flux,2630.0,4795.0,7393.0,506.5,3831.125,MAR00162,True
