feature,lda_score
MAR10864__mean_flux,1.0928565167288623e+28
MAR11106__mean_flux,1.0928565167288623e+28
MAR10622__mean_flux,1.0928565167288623e+28
MAR09255__ci_lower,9.263152497459773e+27
MAR07781__ci_lower,9.263152497459773e+27
MAR09085__sd_flux,7.860561673316747e+27
MAR04885__ci_upper,7.860561673316747e+27
MAR03977__ci_upper,7.845776169430796e+27
MAR04890__ci_upper,7.845776169430796e+27
MAR03975__ci_upper,7.845776169430796e+27
MAR06388__ci_upper,7.845776169430796e+27
MAR03979__ci_upper,7.845776169430796e+27
MAR05346__ci_upper,7.845776169430796e+27
MAR10654__sd_flux,6.172970747658855e+27
MAR11138__sd_flux,6.172970747658855e+27
MAR10896__sd_flux,6.172970747658855e+27
MAR00262__sd_flux,5.531836233051573e+27
MAR05342__mean_flux,4.3872362829013555e+27
MAR03804__cv,3.7831491336663914e+27
MAR09076__ci_lower,3.732926588305881e+27
MAR09107__ci_upper,3.732926588305881e+27
MAR07735__ci_upper,3.732926588305881e+27
MAR05987__ci_upper,3.732926588305881e+27
MAR09043__mean_flux,3.718832172681779e+27
MAR00702__ci_upper,3.3454033658126006e+27
MAR00195__ci_lower,3.3454033658126006e+27
MAR04018__cv,3.299501528007256e+27
MAR20165__cv,3.299501528007256e+27
MAR10890__sd_flux,3.09757450174387e+27
MAR11132__sd_flux,3.09757450174387e+27
MAR10648__sd_flux,3.09757450174387e+27
MAR04612__ci_upper,2.966163578900898e+27
MAR05565__mean_flux,2.8824188801232494e+27
MAR10659__cv,2.762211405732932e+27
MAR10901__cv,2.762211405732932e+27
MAR11143__cv,2.762211405732932e+27
MAR09058__cv,2.313939936379199e+27
MAR11318__mean_flux,2.313939936379199e+27
MAR10047__ci_lower,2.2539204317642198e+27
MAR10046__ci_lower,2.2539204317642198e+27
MAR00736__ci_lower,2.2539204317642198e+27
MAR10611__ci_upper,2.250082662943468e+27
MAR10572__sd_flux,2.2500826629434676e+27
MAR11056__sd_flux,2.2500826629434676e+27
MAR10814__sd_flux,2.2500826629434676e+27
MAR10853__ci_lower,2.2500826629434676e+27
MAR11095__ci_lower,2.2500826629434676e+27
MAR08542__ci_lower,2.1867621641402802e+27
MAR06225__mean_flux,2.1202820639981974e+27
MAR05082__sd_flux,2.039821913261396e+27
MAR09824__ci_lower,1.7742847634412902e+27
MAR11373__mean_flux,1.766459495009386e+27
MAR11372__mean_flux,1.766459495009386e+27
MAR05401__mean_flux,1.766459495009386e+27
MAR01380__mean_flux,1.766459495009386e+27
